Date,Close,Open,High,Low,Volume,Change
2008年9月,"10,850.66","11,545.63","11,790.17","10,365.45",6.30B,-6.00%
2008年10月,"9,325.01","10,847.40","10,882.52","7,882.51",8.31B,-14.06%
2008年11月,"8,829.04","9,326.04","9,653.95","7,449.38",6.26B,-5.32%
2008年12月,"8,776.39","8,826.89","9,026.41","8,118.50",5.70B,-0.60%
2009年1月,"8,000.86","8,772.25","9,088.06","7,909.03",6.26B,-8.84%
2009年2月,"7,062.93","8,000.62","8,315.07","7,033.62",7.13B,-11.72%
2009年3月,"7,608.92","7,056.48","7,931.33","6,469.95",10.56B,7.73%
2009年4月,"8,168.12","7,606.13","8,307.51","7,483.87",7.80B,7.35%
2009年5月,"8,500.33","8,167.41","8,591.93","8,099.31",6.73B,4.07%
2009年6月,"8,447.00","8,501.53","8,877.93","8,259.43",5.52B,-0.63%
2009年7月,"9,171.61","8,447.53","9,246.43","8,087.19",4.90B,8.58%
2009年8月,"9,496.28","9,173.65","9,630.20","9,116.52",4.04B,3.54%
2009年9月,"9,712.28","9,492.32","9,917.99","9,252.93",4.48B,2.27%
2009年10月,"9,712.73","9,711.60","10,119.47","9,430.08",5.15B,0.00%
2009年11月,"10,344.84","9,712.13","10,495.61","9,678.95",3.81B,6.51%
2009年12月,"10,428.05","10,343.82","10,580.33","10,235.63",4.17B,0.80%
2010年1月,"10,067.33","10,430.69","10,729.89","10,043.75",4.39B,-3.46%
2010年2月,"10,325.26","10,068.99","10,438.55","9,835.09",4.28B,2.56%
2010年3月,"10,856.63","10,326.10","10,955.48","10,326.10",4.39B,5.15%
2010年4月,"11,008.61","10,857.31","11,258.01","10,844.09",4.24B,1.40%
2010年5月,"10,136.63","11,009.60","11,177.67","9,774.48",5.61B,-7.92%
2010年6月,"9,774.02","10,133.94","10,594.16","9,753.84",4.94B,-3.58%
2010年7月,"10,465.94","9,773.27","10,584.99","9,614.32",4.20B,7.08%
2010年8月,"10,014.72","10,468.82","10,719.94","9,936.62",4.12B,-4.31%
2010年9月,"10,788.05","10,016.01","10,948.88","10,016.01",3.76B,7.72%
2010年10月,"11,118.49","10,789.72","11,247.60","10,711.12",3.79B,3.06%
2010年11月,"11,006.02","11,120.30","11,451.53","10,929.28",3.81B,-1.01%
2010年12月,"11,577.51","11,007.23","11,625.00","11,007.23",3.25B,5.19%
2011年1月,"11,891.93","11,577.43","12,020.52","11,573.87",3.68B,2.72%
2011年2月,"12,226.34","11,892.50","12,391.29","11,892.50",3.22B,2.81%
2011年3月,"12,319.73","12,226.49","12,383.46","11,555.48",3.85B,0.76%
2011年4月,"12,810.54","12,321.02","12,832.83","12,093.89",3.32B,3.98%
2011年5月,"12,569.79","12,810.16","12,876.00","12,309.52",3.58B,-1.88%
2011年6月,"12,414.34","12,569.41","12,569.49","11,862.53",3.88B,-1.24%
2011年7月,"12,143.24","12,412.07","12,753.89","12,083.45",3.09B,-2.18%
2011年8月,"11,613.53","12,144.22","12,282.42","10,604.07",6.20B,-4.36%
2011年9月,"10,913.38","11,613.30","11,716.84","10,597.14",4.40B,-6.03%
2011年10月,"11,955.01","10,912.10","12,284.31","10,404.49",3.91B,9.54%
2011年11月,"12,045.68","11,951.53","12,187.51","11,231.56",3.40B,0.76%
2011年12月,"12,217.56","12,046.21","12,328.47","11,735.19",3.15B,1.43%
2012年1月,"12,632.91","12,221.19","12,841.95","12,221.19",2.98B,3.40%
2012年2月,"12,952.07","12,632.76","13,055.75","12,632.76",2.71B,2.53%
2012年3月,"13,212.04","12,952.29","13,289.08","12,734.86",3.20B,2.01%
2012年4月,"13,213.63","13,211.36","13,297.11","12,710.56",2.57B,0.01%
2012年5月,"12,393.45","13,214.16","13,338.66","12,311.56",3.05B,-6.21%
2012年6月,"12,880.09","12,391.56","12,898.94","12,035.09",2.92B,3.93%
2012年7月,"13,008.68","12,879.71","13,128.64","12,492.25",2.58B,1.00%
2012年8月,"13,090.84","13,007.47","13,330.76","12,778.90",2.27B,0.63%
2012年9月,"13,437.13","13,092.15","13,653.24","12,977.09",2.70B,2.65%
2012年10月,"13,096.46","13,437.66","13,661.87","13,039.86",2.47B,-2.54%
2012年11月,"13,025.58","13,099.19","13,290.75","12,471.49",2.68B,-0.54%
2012年12月,"13,104.14","13,027.73","13,365.86","12,883.89",2.67B,0.60%
2013年1月,"13,860.58","13,104.30","13,969.99","13,104.30",2.79B,5.77%
